Event type,Outcome,Player,Recipient player,Team,Competition,Season,Match,Date,Minute,Second,Start X,Start Y,End X,End Y,Touch,Pass height,Distance,Duration,Body part,In attacking third,In attacking half,Inside attacking third,Distance to own goal,Inside attacking half,Distance to opponent's goal
pass,complete,Dominique Bloodworth,Melvine Malard,Manchester United,FAWSL (FA Women's Super League),2025/2026,Manchester United vs. Leicester City WFC,2025-09-07,72,47,105.800003051758,7.09999990463257,113.4,37.9,true,high,31.72,1531,left_foot,true,true,true,109.67611408141701,true,32.2001552791287
pass,complete,Dominique Bloodworth,Anna Sandberg,Manchester United,FAWSL (FA Women's Super League),2025/2026,Manchester United vs. Tottenham Hotspur Women,2025-12-14,89,57,94.5999984741211,26.7000007629395,110.8,20.2,true,ground,17.46,1256.2280000001192,left_foot,true,true,true,95.05603610502595,true,27.049029557453633
pass,incomplete,Dominique Bloodworth,Fridolina Rolfö,Manchester United,FAWSL (FA Women's Super League),2025/2026,Everton LFC vs. Manchester United,2025-10-12,53,29,94.5999984741211,22.7000007629395,108.9,35.2,true,high,18.99,1391.7789999999804,right_foot,true,true,true,95.53036166580758,true,28.671414335536365
pass,incomplete,Dominique Bloodworth,,Manchester United,FAWSL (FA Women's Super League),2025/2026,Manchester United vs. Leicester City WFC,2025-09-07,89,23,100.5,28.1000003814697,103.4,27.6,true,ground,2.94,151,left_foot,true,true,true,100.81001934331726,true,21.039486685753527
pass,complete,Dominique Bloodworth,Jessica Park,Manchester United,FAWSL (FA Women's Super League),2025/2026,Manchester United vs. Chelsea FCW,2025-10-03,18,20,100.099998474121,32.5,104.2,50.5,true,ground,18.46,1755,left_foot,true,true,true,100.16117012096053,true,20.20544481074347
pass,complete,Dominique Bloodworth,Jessica Park,Manchester United,FAWSL (FA Women's Super League),2025/2026,Manchester United vs. Tottenham Hotspur Women,2025-12-14,20,28,97.6999969482422,39.2000007629395,108.67,47.38,true,ground,13.68,1223.6340000000782,left_foot,true,true,true,97.7,true,22.299999999999997
pass,incomplete,Fridolina Rolfö,,Manchester United,FAWSL (FA Women's Super League),2025/2026,Manchester United vs. Tottenham Hotspur Women,2025-12-14,68,56,118.099998474121,72.4000015258789,116.8,38.7,true,high,33.73,1851.4040000000969,right_foot,true,true,true,121.46674442002633,true,28.46348538039571
pass,incomplete,Fridolina Rolfö,Ella Toone,Manchester United,FAWSL (FA Women's Super League),2025/2026,Everton LFC vs. Manchester United,2025-10-12,68,6,94.0999984741211,30.2000007629395,104.3,26.7,true,ground,10.78,1260.966000000015,right_foot,true,true,true,94.2785765696534,true,26.541476974727694
pass,complete,Fridolina Rolfö,Melvine Malard,Manchester United,FAWSL (FA Women's Super League),2025/2026,Manchester United vs. Tottenham Hotspur Women,2025-12-14,71,59,94.4000015258789,68.5999984741211,112.8,41.1,true,high,33.09,1284.2560000000522,left_foot,true,true,true,97.55265244984372,true,35.5038026132413
pass,complete,Fridolina Rolfö,Jessica Park,Manchester United,FAWSL (FA Women's Super League),2025/2026,Manchester United vs. Tottenham Hotspur Women,2025-12-14,87,21,114.599998474121,64.6999969482422,108.8,50.4,true,low,15.43,887.3990000002086,left_foot,true,true,true,116.45449755161884,true,21.39275578320849
pass,complete,Fridolina Rolfö,Melvine Malard,Manchester United,FAWSL (FA Women's Super League),2025/2026,Liverpool WFC vs. Manchester United,2025-09-28,2,7,104.300003051758,12.6000003814697,104.3,22,true,ground,9.4,768,left_foot,true,true,true,106.89270321214633,true,28.1788928100449
pass,incomplete,Fridolina Rolfö,,Manchester United,FAWSL (FA Women's Super League),2025/2026,Arsenal WFC vs. Manchester United,2026-01-10,5,48,82.9000015258789,8.60000038146973,111.6,38.7,true,ground,41.59,2666.2949999999837,left_foot,true,true,true,87.31076680455854,true,46.12125323535777
pass,incomplete,Fridolina Rolfö,,Manchester United,FAWSL (FA Women's Super League),2025/2026,Manchester United vs. Aston Villa,2025-11-08,6,25,107.800003051758,7.90000009536743,111.4,37.1,true,low,29.42,1826,left_foot,true,true,true,111.40219926015824,true,30.63413129174712
pass,out,Fridolina Rolfö,,Manchester United,FAWSL (FA Women's Super League),2025/2026,Manchester City WFC vs. Manchester United,2025-11-15,64,28,87.1999969482422,1.60000002384186,120,20.7,true,low,37.96,2981,left_foot,true,true,true,93.74006614036497,true,47.53104248804143
pass,incomplete,Fridolina Rolfö,,Manchester United,FAWSL (FA Women's Super League),2025/2026,Manchester United vs. Tottenham Hotspur Women,2025-12-14,91,41,85.5999984741211,46.2000007629395,110.1,30.6,true,high,29.04,2758.25800000038,left_foot,true,true,true,85.62826636105626,true,34.47027705139604
